id,symbols
03_parity_long_4H,"['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'XRPUSDT', 'HYPEUSDT', 'DOGEUSDT', 'SUIUSDT', 'ADAUSDT', 'LINKUSDT']"
03_parity_long_1H,"['BTCUSDT', 'ETHUSDT', 'SOLUSDT', 'XRPUSDT', 'HYPEUSDT', 'DOGEUSDT', 'SUIUSDT', 'ADAUSDT', 'LINKUSDT']"
