time,open,high,low,close,volume,high_time,low_time
2021-01-03 20:00:00,1.36494,1.36834,1.36438,1.36806,2744370000.0,2021-01-03 23:58:11.970,2021-01-03 22:07:02.710
2021-01-04 00:00:00,1.3681,1.36964,1.36593,1.36955,22910021000.0,2021-01-04 03:45:27.066,2021-01-04 00:38:30.466
2021-01-04 04:00:00,1.36956,1.37028,1.3668,1.36876,18245813000.0,2021-01-04 07:47:46.335,2021-01-04 05:18:25.333
2021-01-04 08:00:00,1.36881,1.37036,1.36644,1.36704,39497281000.0,2021-01-04 11:02:44.354,2021-01-04 09:52:45.502
2021-01-04 12:00:00,1.36702,1.36707,1.35614,1.35779,50295145000.0,2021-01-04 12:32:09.566,2021-01-04 15:32:52.643
2021-01-04 16:00:00,1.35776,1.3596,1.35417,1.35664,36182553000.0,2021-01-04 16:23:41.020,2021-01-04 17:18:01.524
2021-01-04 20:00:00,1.35661,1.3579,1.35512,1.35711,11934330500.0,2021-01-04 21:40:37.927,2021-01-04 20:09:59.924
2021-01-05 00:00:00,1.3571,1.3596,1.35619,1.35857,21334510000.0,2021-01-05 03:17:56.904,2021-01-05 00:03:49.728
2021-01-05 04:00:00,1.35856,1.36124,1.35606,1.35694,24506658000.0,2021-01-05 06:51:30.076,2021-01-05 07:58:00.344
2021-01-05 08:00:00,1.35693,1.36075,1.35539,1.35896,28313907000.0,2021-01-05 11:14:21.241,2021-01-05 08:53:55.016
2021-01-05 12:00:00,1.35895,1.36039,1.3559,1.35931,33974466000.0,2021-01-05 15:00:40.314,2021-01-05 13:34:15.999
2021-01-05 16:00:00,1.35933,1.3642,1.35924,1.36291,21214220000.0,2021-01-05 17:17:16.806,2021-01-05 16:00:05.642
2021-01-05 20:00:00,1.36289,1.36344,1.3616,1.36269,6000201000.0,2021-01-05 20:00:30.324,2021-01-05 22:04:01.024
2021-01-06 00:00:00,1.3627,1.36464,1.35914,1.36008,30642682000.0,2021-01-06 00:51:24.070,2021-01-06 02:56:12.040
2021-01-06 04:00:00,1.36009,1.36599,1.35995,1.36583,29285591000.0,2021-01-06 07:59:41.163,2021-01-06 04:04:42.262
