time,open,high,low,close,volume,high_time,low_time
2021-01-03 20:00:00,1.22308,1.22528,1.22286,1.225,5442654000.0,2021-01-03 23:53:01.083,2021-01-03 22:08:07.435
2021-01-04 00:00:00,1.22499,1.22587,1.22385,1.22549,19524292000.0,2021-01-04 02:32:53.843,2021-01-04 00:39:15.258
2021-01-04 04:00:00,1.22551,1.22689,1.22414,1.22638,15667589000.0,2021-01-04 07:47:46.335,2021-01-04 05:18:05.588
2021-01-04 08:00:00,1.22635,1.23005,1.22618,1.22931,30055554000.0,2021-01-04 09:37:54.602,2021-01-04 08:00:01.757
2021-01-04 12:00:00,1.2293,1.23099,1.22603,1.22718,49112623000.0,2021-01-04 14:26:50.620,2021-01-04 15:45:59.571
2021-01-04 16:00:00,1.22712,1.22774,1.22425,1.22522,36244559000.0,2021-01-04 16:14:50.301,2021-01-04 18:34:44.530
2021-01-04 20:00:00,1.22521,1.22534,1.22415,1.22525,9933992000.0,2021-01-04 23:18:01.254,2021-01-04 20:35:35.287
2021-01-05 00:00:00,1.22526,1.22767,1.22471,1.22727,15119332000.0,2021-01-05 03:30:45.731,2021-01-05 00:06:48.795
2021-01-05 04:00:00,1.22726,1.22744,1.22552,1.22581,17381314000.0,2021-01-05 06:51:30.003,2021-01-05 07:57:37.761
2021-01-05 08:00:00,1.22582,1.22906,1.22581,1.22829,30222596000.0,2021-01-05 11:35:16.051,2021-01-05 08:00:12.095
2021-01-05 12:00:00,1.22828,1.22847,1.22541,1.22753,44833310000.0,2021-01-05 12:03:14.806,2021-01-05 15:01:57.718
2021-01-05 16:00:00,1.22754,1.23051,1.22731,1.23032,25945275000.0,2021-01-05 17:09:49.964,2021-01-05 16:02:55.691
2021-01-05 20:00:00,1.23031,1.23056,1.22894,1.22987,6629496000.0,2021-01-05 20:00:31.027,2021-01-05 21:16:55.643
2021-01-06 00:00:00,1.22985,1.23262,1.22756,1.22858,34953052000.0,2021-01-06 00:50:58.772,2021-01-06 03:01:09.489
2021-01-06 04:00:00,1.22857,1.23454,1.22836,1.23394,28327242000.0,2021-01-06 07:43:24.600,2021-01-06 04:05:49.402
2021-01-06 08:00:00,1.23395,1.23495,1.23207,1.23375,40208632000.0,2021-01-06 11:35:46.566,2021-01-06 09:01:32.570
2021-01-06 12:00:00,1.23374,1.23492,1.22752,1.22823,59610891000.0,2021-01-06 12:25:28.341,2021-01-06 15:54:42.437
2021-01-06 16:00:00,1.22821,1.23174,1.22656,1.23069,37742018000.0,2021-01-06 18:54:30.199,2021-01-06 16:11:05.765
2021-01-06 20:00:00,1.23068,1.234,1.23067,1.23382,16561905000.0,2021-01-06 20:17:42.592,2021-01-06 20:00:00.323
2021-01-07 00:00:00,1.23381,1.23442,1.23188,1.23275,18439891000.0,2021-01-07 00:17:43.644,2021-01-07 02:24:55.179
2021-01-07 04:00:00,1.23276,1.23315,1.23072,1.23113,17814675000.0,2021-01-07 04:18:27.593,2021-01-07 06:11:19.911
2021-01-07 08:00:00,1.23112,1.23171,1.22451,1.22568,49948017000.0,2021-01-07 08:02:47.956,2021-01-07 10:51:40.601
2021-01-07 12:00:00,1.22571,1.22825,1.22463,1.22591,54063012000.0,2021-01-07 14:15:49.452,2021-01-07 15:19:56.212
2021-01-07 16:00:00,1.22593,1.2279,1.22546,1.22676,23572074000.0,2021-01-07 18:44:41.637,2021-01-07 17:32:10.559
2021-01-07 20:00:00,1.22675,1.22769,1.22623,1.2269,7884783000.0,2021-01-07 21:33:05.887,2021-01-07 22:30:53.493
2021-01-08 00:00:00,1.22691,1.22723,1.22348,1.22619,18899077000.0,2021-01-08 00:30:42.011,2021-01-08 01:16:24.644
2021-01-08 04:00:00,1.22617,1.2269,1.22323,1.22391,15687946000.0,2021-01-08 07:18:04.266,2021-01-08 07:57:26.847
2021-01-08 08:00:00,1.2239,1.22537,1.22132,1.22505,36102111000.0,2021-01-08 11:56:07.269,2021-01-08 08:13:53.339
2021-01-08 12:00:00,1.22504,1.22845,1.22221,1.22552,64856641400.0,2021-01-08 13:46:43.115,2021-01-08 15:23:58.017
2021-01-08 16:00:00,1.22551,1.22634,1.2193,1.22145,39854767000.0,2021-01-08 16:45:29.544,2021-01-08 18:46:52.804
2021-01-08 20:00:00,1.22146,1.22272,1.22115,1.22217,4679591000.0,2021-01-08 21:04:33.531,2021-01-08 20:00:14.177
2021-01-10 20:00:00,1.22141,1.22263,1.21821,1.2187,4493785000.0,2021-01-10 22:15:57.721,2021-01-10 23:57:39.112
2021-01-11 00:00:00,1.21869,1.2196,1.21668,1.21731,17705369000.0,2021-01-11 00:04:11.930,2021-01-11 02:18:04.123
2021-01-11 04:00:00,1.21732,1.21934,1.21666,1.21784,16297000000.0,2021-01-11 07:21:38.089,2021-01-11 04:29:32.796
2021-01-11 08:00:00,1.21783,1.21996,1.21544,1.21663,32924456000.0,2021-01-11 08:38:31.170,2021-01-11 10:31:43.498
2021-01-11 12:00:00,1.21662,1.21718,1.21321,1.21503,45005260000.0,2021-01-11 12:40:03.437,2021-01-11 15:01:59.036
2021-01-11 16:00:00,1.21501,1.21742,1.21473,1.21623,19028327000.0,2021-01-11 17:10:09.474,2021-01-11 16:03:37.739
2021-01-11 20:00:00,1.21624,1.21651,1.21487,1.21605,6511395000.0,2021-01-11 20:11:55.391,2021-01-11 21:56:18.633
2021-01-12 00:00:00,1.21606,1.21619,1.21404,1.21484,11622417000.0,2021-01-12 00:04:02.074,2021-01-12 01:31:02.399
2021-01-12 04:00:00,1.21483,1.21753,1.21387,1.21634,15069684000.0,2021-01-12 07:32:03.067,2021-01-12 04:44:36.172
2021-01-12 08:00:00,1.21635,1.2179,1.21408,1.21514,35510136000.0,2021-01-12 09:28:50.079,2021-01-12 11:19:11.389
2021-01-12 12:00:00,1.21515,1.21662,1.21371,1.21557,39603228000.0,2021-01-12 15:43:14.682,2021-01-12 14:07:27.805
2021-01-12 16:00:00,1.21556,1.22068,1.21548,1.21994,23116317000.0,2021-01-12 19:32:54.357,2021-01-12 16:31:11.482
2021-01-12 20:00:00,1.21995,1.22096,1.21979,1.22086,11379879000.0,2021-01-12 21:46:23.600,2021-01-12 20:00:53.224
2021-01-13 00:00:00,1.22087,1.22204,1.22048,1.22158,10194928000.0,2021-01-13 03:29:11.494,2021-01-13 01:20:34.684
2021-01-13 04:00:00,1.22156,1.22228,1.22026,1.2203,12666831000.0,2021-01-13 07:34:19.514,2021-01-13 07:59:46.562
2021-01-13 08:00:00,1.22031,1.22077,1.21606,1.21629,32121535000.0,2021-01-13 08:13:20.411,2021-01-13 11:57:57.626
2021-01-13 12:00:00,1.21627,1.21805,1.21536,1.21595,44545888000.0,2021-01-13 15:24:35.545,2021-01-13 14:33:07.508
2021-01-13 16:00:00,1.21596,1.21746,1.21399,1.21539,25663339000.0,2021-01-13 18:05:59.640,2021-01-13 17:18:37.754
2021-01-13 20:00:00,1.21538,1.21637,1.21484,1.21619,7235553000.0,2021-01-13 23:52:36.057,2021-01-13 20:53:30.844
2021-01-14 00:00:00,1.21618,1.21719,1.21357,1.21453,18979895000.0,2021-01-14 01:16:41.034,2021-01-14 02:30:56.593
2021-01-14 04:00:00,1.21452,1.21553,1.21361,1.2143,17006204000.0,2021-01-14 05:59:56.828,2021-01-14 07:52:40.433
2021-01-14 08:00:00,1.21429,1.21674,1.2141,1.21515,29326902000.0,2021-01-14 09:51:17.797,2021-01-14 08:01:17.706
2021-01-14 12:00:00,1.21514,1.21557,1.21111,1.21354,47262279000.0,2021-01-14 12:01:44.168,2021-01-14 13:28:45.303
2021-01-14 16:00:00,1.21353,1.21785,1.21322,1.21549,29698147000.0,2021-01-14 17:56:17.639,2021-01-14 16:01:43.635
2021-01-14 20:00:00,1.2155,1.21651,1.21484,1.21505,5531378000.0,2021-01-14 20:48:05.341,2021-01-14 22:05:00.878
2021-01-15 00:00:00,1.21506,1.21624,1.21432,1.21494,11728251000.0,2021-01-15 00:21:04.952,2021-01-15 02:18:58.441
2021-01-15 04:00:00,1.21493,1.21509,1.21338,1.2135,15020786000.0,2021-01-15 04:53:16.562,2021-01-15 06:51:49.788
2021-01-15 08:00:00,1.21349,1.21445,1.21177,1.21233,27628987000.0,2021-01-15 10:34:18.644,2021-01-15 08:08:33.718
2021-01-15 12:00:00,1.21232,1.21329,1.20816,1.20932,45563850000.0,2021-01-15 13:40:00.241,2021-01-15 15:23:33.051
2021-01-15 16:00:00,1.20931,1.21002,1.20767,1.20767,22450574000.0,2021-01-15 16:49:20.590,2021-01-15 19:59:59.370
2021-01-15 20:00:00,1.20768,1.20817,1.20749,1.2077,3722355000.0,2021-01-15 20:39:32.123,2021-01-15 21:49:33.703
2021-01-17 20:00:00,1.20775,1.20864,1.2066,1.20662,2565153000.0,2021-01-17 23:23:35.043,2021-01-17 23:59:24.826
2021-01-18 00:00:00,1.20663,1.20847,1.20649,1.2074,13398303000.0,2021-01-18 02:51:38.665,2021-01-18 00:01:49.068
2021-01-18 04:00:00,1.20741,1.20867,1.20654,1.20676,10962725000.0,2021-01-18 07:17:48.208,2021-01-18 04:32:07.617
2021-01-18 08:00:00,1.20675,1.20797,1.20561,1.20652,25319122000.0,2021-01-18 08:37:52.162,2021-01-18 10:32:45.793
2021-01-18 12:00:00,1.20653,1.20767,1.20535,1.20746,19737548000.0,2021-01-18 15:36:41.554,2021-01-18 12:57:53.767
2021-01-18 16:00:00,1.20747,1.20821,1.20708,1.2079,10956522000.0,2021-01-18 19:43:31.957,2021-01-18 17:25:55.565
2021-01-18 20:00:00,1.20789,1.2081,1.20738,1.20776,3138260000.0,2021-01-18 21:56:07.473,2021-01-18 23:23:57.292
2021-01-19 00:00:00,1.20775,1.20984,1.20773,1.20969,13763390000.0,2021-01-19 03:51:05.628,2021-01-19 00:00:00.578
2021-01-19 04:00:00,1.2097,1.21078,1.20853,1.21041,12220449000.0,2021-01-19 07:53:38.973,2021-01-19 07:24:54.405
2021-01-19 08:00:00,1.21042,1.21374,1.21027,1.21272,33980995000.0,2021-01-19 11:17:48.283,2021-01-19 09:15:52.955
2021-01-19 12:00:00,1.21271,1.21448,1.21187,1.21281,32951776000.0,2021-01-19 14:14:59.015,2021-01-19 15:17:00.274
2021-01-19 16:00:00,1.2128,1.2134,1.21157,1.21252,17361506000.0,2021-01-19 16:10:14.467,2021-01-19 16:33:08.206
2021-01-19 20:00:00,1.21253,1.21397,1.21224,1.21393,6187236000.0,2021-01-19 23:54:57.531,2021-01-19 22:08:19.227
2021-01-20 00:00:00,1.21392,1.21494,1.2127,1.21443,14606389000.0,2021-01-20 02:31:52.150,2021-01-20 00:01:58.311
2021-01-20 04:00:00,1.21444,1.2158,1.21396,1.21555,12754810000.0,2021-01-20 06:42:40.748,2021-01-20 04:58:51.710
2021-01-20 08:00:00,1.21554,1.21582,1.21114,1.21121,40607004000.0,2021-01-20 08:03:38.053,2021-01-20 11:59:06.711
2021-01-20 12:00:00,1.2112,1.21177,1.20766,1.21051,41971757000.0,2021-01-20 15:46:50.743,2021-01-20 14:54:13.970
2021-01-20 16:00:00,1.21052,1.2115,1.20922,1.21071,20200115000.0,2021-01-20 16:53:00.312,2021-01-20 16:06:17.977
2021-01-20 20:00:00,1.2107,1.21186,1.20989,1.21144,7462876000.0,2021-01-20 23:32:43.621,2021-01-20 20:36:40.722
2021-01-21 00:00:00,1.21143,1.21335,1.21093,1.21296,10355986000.0,2021-01-21 02:54:35.945,2021-01-21 00:40:59.890
2021-01-21 04:00:00,1.21295,1.2138,1.21176,1.21197,11325487000.0,2021-01-21 05:38:04.415,2021-01-21 07:59:01.166
2021-01-21 08:00:00,1.21196,1.2147,1.21148,1.21431,30688497000.0,2021-01-21 10:21:26.998,2021-01-21 08:24:34.783
2021-01-21 12:00:00,1.21432,1.2173,1.21364,1.21513,50935894000.0,2021-01-21 13:51:18.717,2021-01-21 14:38:31.077
2021-01-21 16:00:00,1.21514,1.21611,1.21357,1.21599,19921606000.0,2021-01-21 19:24:45.376,2021-01-21 17:18:22.850
2021-01-21 20:00:00,1.21597,1.21706,1.21566,1.21654,6880357000.0,2021-01-21 23:00:18.632,2021-01-21 20:01:00.932
2021-01-22 00:00:00,1.21655,1.21775,1.21615,1.21735,14970152000.0,2021-01-22 00:15:22.782,2021-01-22 01:25:19.030
2021-01-22 04:00:00,1.21736,1.21766,1.21531,1.21566,12151122000.0,2021-01-22 04:06:26.688,2021-01-22 07:58:07.333
2021-01-22 08:00:00,1.21565,1.21894,1.21514,1.21763,32569827000.0,2021-01-22 09:00:54.013,2021-01-22 08:22:19.527
2021-01-22 12:00:00,1.21764,1.21847,1.21541,1.21722,28482268000.0,2021-01-22 15:17:22.125,2021-01-22 14:14:29.634
2021-01-22 16:00:00,1.21723,1.21816,1.21628,1.21664,14634536000.0,2021-01-22 16:48:07.356,2021-01-22 17:56:54.258
2021-01-22 20:00:00,1.21663,1.21719,1.21653,1.21705,3057763000.0,2021-01-22 20:56:49.201,2021-01-22 20:00:38.194
2021-01-24 20:00:00,1.21656,1.21708,1.21628,1.21668,1451690000.0,2021-01-24 23:47:13.846,2021-01-24 22:13:27.905
2021-01-25 00:00:00,1.21669,1.21777,1.21601,1.21748,11278752000.0,2021-01-25 03:21:47.429,2021-01-25 01:44:39.476
2021-01-25 04:00:00,1.21749,1.21832,1.21717,1.21796,12549748000.0,2021-01-25 06:00:57.599,2021-01-25 07:23:40.127
2021-01-25 08:00:00,1.21794,1.21801,1.21401,1.21568,31192128000.0,2021-01-25 08:00:09.593,2021-01-25 10:15:10.013
2021-01-25 12:00:00,1.21567,1.21593,1.21159,1.21301,33516679000.0,2021-01-25 12:18:36.085,2021-01-25 15:11:25.317
2021-01-25 16:00:00,1.213,1.21476,1.21196,1.21386,18969814000.0,2021-01-25 17:46:33.953,2021-01-25 16:08:13.656
2021-01-25 20:00:00,1.21385,1.21443,1.2136,1.21426,4119407000.0,2021-01-25 23:19:19.848,2021-01-25 20:30:59.283
2021-01-26 00:00:00,1.21427,1.2146,1.2133,1.21397,6162952000.0,2021-01-26 02:01:33.563,2021-01-26 00:59:02.882
2021-01-26 04:00:00,1.21396,1.21398,1.21077,1.21112,12514590000.0,2021-01-26 04:12:57.558,2021-01-26 07:57:25.640
2021-01-26 08:00:00,1.21114,1.21426,1.21114,1.21375,28657598000.0,2021-01-26 11:29:43.084,2021-01-26 08:00:00.069
2021-01-26 12:00:00,1.21376,1.2176,1.21361,1.21678,28837547000.0,2021-01-26 15:36:26.292,2021-01-26 12:15:41.637
2021-01-26 16:00:00,1.21677,1.2169,1.21398,1.21646,16655942000.0,2021-01-26 16:00:07.685,2021-01-26 16:54:07.227
2021-01-26 20:00:00,1.21647,1.21683,1.21588,1.21631,3487815000.0,2021-01-26 21:01:10.136,2021-01-26 21:57:53.622
2021-01-27 00:00:00,1.2163,1.21697,1.21547,1.21566,7406915000.0,2021-01-27 00:30:04.616,2021-01-27 03:12:42.731
2021-01-27 04:00:00,1.21567,1.21659,1.21516,1.2155,9145129000.0,2021-01-27 06:00:29.498,2021-01-27 07:32:57.505
2021-01-27 08:00:00,1.21551,1.21582,1.21133,1.21166,31101820000.0,2021-01-27 08:11:37.713,2021-01-27 11:51:28.817
2021-01-27 12:00:00,1.21165,1.21197,1.20583,1.2091,49439777000.0,2021-01-27 12:02:36.541,2021-01-27 14:49:31.501
2021-01-27 16:00:00,1.20911,1.21287,1.20892,1.20999,25941286000.0,2021-01-27 19:00:35.413,2021-01-27 16:00:56.720
2021-01-27 20:00:00,1.21,1.21141,1.20932,1.21027,15921936000.0,2021-01-27 21:21:47.694,2021-01-27 20:03:20.409
2021-01-28 00:00:00,1.21026,1.21059,1.20823,1.2091,12003254000.0,2021-01-28 01:54:00.057,2021-01-28 00:55:00.135
2021-01-28 04:00:00,1.20911,1.21055,1.20806,1.20937,12382205000.0,2021-01-28 05:59:53.667,2021-01-28 07:37:21.261
2021-01-28 08:00:00,1.20938,1.21174,1.20888,1.2102,35455524000.0,2021-01-28 10:51:12.168,2021-01-28 08:57:44.995
2021-01-28 12:00:00,1.21022,1.21423,1.20879,1.21219,42738565000.0,2021-01-28 14:00:25.719,2021-01-28 13:17:08.723
2021-01-28 16:00:00,1.21217,1.214,1.21187,1.21314,19763247000.0,2021-01-28 19:41:34.877,2021-01-28 16:50:27.815
2021-01-28 20:00:00,1.21313,1.21375,1.21173,1.21208,7657603000.0,2021-01-28 20:14:10.269,2021-01-28 22:04:21.369
2021-01-29 00:00:00,1.21209,1.21218,1.20972,1.20972,12256119000.0,2021-01-29 00:03:38.632,2021-01-29 03:59:59.738
2021-01-29 04:00:00,1.20971,1.21087,1.20943,1.21044,13997551000.0,2021-01-29 07:07:29.242,2021-01-29 05:43:05.193
2021-01-29 08:00:00,1.21043,1.21387,1.20971,1.21268,35518170000.0,2021-01-29 11:33:57.952,2021-01-29 08:10:08.701
2021-01-29 12:00:00,1.21269,1.21558,1.21249,1.2149,46964771000.0,2021-01-29 14:03:49.753,2021-01-29 15:45:44.179
2021-01-29 16:00:00,1.21491,1.21534,1.21274,1.21305,27965411000.0,2021-01-29 16:01:00.335,2021-01-29 18:18:23.756
2021-01-29 20:00:00,1.21307,1.21391,1.213,1.21352,5434348000.0,2021-01-29 20:56:19.504,2021-01-29 21:16:31.837
