timestamp,open,high,low,close,volume_base,volume_quote
2025-12-13 04:00:00,4300.31,4307.47,4278.38,4297.1,302.0,1297264.2965
2025-12-13 08:00:00,4297.1,4305.0,4288.88,4290.0,271.67,1167287.6699
2025-12-13 12:00:00,4290.0,4301.99,4290.0,4294.84,23.44,100703.3429
2025-12-13 16:00:00,4294.84,4299.81,4289.36,4299.38,10.08,43296.3454
2025-12-13 20:00:00,4299.38,4313.73,4280.72,4305.0,27.92,119948.5731
2025-12-14 00:00:00,4305.0,4305.0,4291.54,4304.0,7.32,31458.6606
2025-12-14 04:00:00,4304.0,4309.57,4294.26,4299.0,632.98,2722088.1557
2025-12-14 08:00:00,4299.0,4306.57,4294.35,4303.0,224.86,967615.6112
2025-12-14 12:00:00,4303.0,4346.31,4293.0,4306.44,33.67,145136.1175
2025-12-14 16:00:00,4306.44,4319.0,4293.0,4297.55,10.66,45922.8961
2025-12-14 20:00:00,4297.55,4316.51,4290.0,4295.09,18.38,79060.7019
2025-12-15 00:00:00,4295.09,4320.0,4276.83,4313.3,35.05,150866.6033
2025-12-15 04:00:00,4313.3,4337.33,4311.88,4326.18,30.78,133130.1382
2025-12-15 08:00:00,4326.18,4340.0,4319.94,4331.87,32.7,141648.6478
2025-12-15 12:00:00,4331.87,4363.48,4320.0,4321.75,55.29,239429.2128
2025-12-15 16:00:00,4321.75,4336.58,4286.67,4304.7,56.28,242659.8442
2025-12-15 20:00:00,4304.7,4305.0,4290.06,4302.12,6.12,26329.2655
2025-12-16 00:00:00,4302.12,4323.08,4285.0,4300.05,24.52,105497.9984
2025-12-16 04:00:00,4300.05,4300.4,4270.0,4292.74,39.49,169381.6667
2025-12-16 08:00:00,4292.74,4297.39,4276.49,4290.81,39.84,170891.6181
2025-12-16 12:00:00,4290.81,4319.98,4271.71,4315.57,98.01,421907.2341
2025-12-16 16:00:00,4315.57,4327.89,4291.13,4305.73,55.04,237109.8657
2025-12-16 20:00:00,4305.73,4311.07,4290.48,4311.06,18.7,80508.3922
2025-12-17 00:00:00,4311.06,4325.45,4300.53,4304.11,26.72,115214.4388
2025-12-17 04:00:00,4304.11,4327.78,4302.84,4320.61,55.57,239842.9625
2025-12-17 08:00:00,4320.61,4326.99,4305.57,4313.43,43.67,188625.6928
2025-12-17 12:00:00,4313.43,4337.68,4299.53,4322.23,244.26,1055208.9286
2025-12-17 16:00:00,4322.23,4337.81,4314.6,4319.97,40.39,174661.3743
2025-12-17 20:00:00,4319.97,4335.33,4316.91,4334.99,18.74,81084.5154
2025-12-18 00:00:00,4334.99,4334.99,4314.0,4318.92,25.76,111303.2645
2025-12-18 04:00:00,4318.92,4326.62,4312.21,4321.43,13.02,56245.64
2025-12-18 08:00:00,4321.43,4324.31,4313.01,4318.29,33.48,144605.244
2025-12-18 12:00:00,4318.29,4350.0,4300.04,4325.52,131.83,569811.034
2025-12-18 16:00:00,4325.52,4361.92,4317.49,4329.72,82.11,356494.5271
2025-12-18 20:00:00,4329.72,4335.12,4318.0,4334.58,15.7,67917.1943
2025-12-19 00:00:00,4334.58,4335.13,4314.0,4317.26,31.76,137230.2635
2025-12-19 04:00:00,4317.26,4325.0,4314.39,4318.25,19.22,83019.1491
2025-12-19 08:00:00,4318.25,4326.74,4318.25,4320.49,23.28,100648.9397
2025-12-19 12:00:00,4320.49,4337.85,4306.89,4336.77,67.99,293818.9839
2025-12-19 16:00:00,4336.77,4348.9,4330.14,4347.4,36.32,157660.196
2025-12-19 20:00:00,4347.4,4347.4,4326.66,4342.64,21.04,91206.2094
2025-12-20 00:00:00,4342.64,4349.76,4338.27,4344.6,15.56,67575.5444
2025-12-20 04:00:00,4344.6,4348.99,4329.38,4342.24,18.91,82048.5789
2025-12-20 08:00:00,4342.24,4347.0,4335.03,4342.78,12.84,55769.2561
2025-12-20 12:00:00,4342.78,4345.7,4329.51,4342.89,13.8,59851.9974
2025-12-20 16:00:00,4342.89,4343.6,4328.0,4330.0,11.83,51269.469
2025-12-20 20:00:00,4330.0,4343.38,4330.0,4332.51,10.83,47010.8433
